Excluded_Category_or_Ingredient,Reason
Hormone boosters,High regulatory and eligibility risk; often contain undisclosed or hormone-altering compounds; not appropriate for student-athletes
Testosterone boosters,Unreliable efficacy; frequent contamination risk; high NCAA and anti-doping concern
Fat burners,High stimulant content; increased cardiovascular risk; frequent ingredient opacity and compliance issues
Proprietary stimulant blends,Ingredient dosages not disclosed; cannot safely assess tolerance or interactions; higher contamination risk
"DMAA (1,3-dimethylamylamine)",Banned substance; associated with serious adverse events; automatic disqualification risk
DMHA (2-aminoisoheptane),DMAA analog; banned or flagged by many sports bodies; high regulatory risk
AMP Citrate (DMBA),Stimulant analog with unclear safety profile; frequent inclusion in pre-workouts
Synephrine-only stimulant formulas,CNS stimulant effects; increased heart rate/blood pressure; not suitable for many athletes
Yohimbine / Yohimbe,"High anxiety, BP, and heart rate effects; poor tolerance; doping-adjacent concerns"
Designer pre-workouts (high-stim),Multiple stimulants + proprietary blends; difficult to assess safety and eligibility
SARMs (Selective Androgen Receptor Modulators),Explicitly banned substances; illegal to market as supplements
Prohormones,Banned substances; severe eligibility and health risks
Grey market supplements,Unverifiable sourcing; labeling inaccuracies; contamination risk
Unverified international brands,Lack of transparent testing or traceability; elevated contamination risk
Extreme stimulant dosages (>300mg caffeine/serving),Increased adverse event risk; poor fit for safety-first system
Weight-loss specific supplements,Performance-negative incentives; regulatory and psychological risk
Sexual enhancement supplements,Frequently adulterated with prescription drugs; FDA enforcement risk
Detox/cleanse products,Unsubstantiated claims; potential electrolyte imbalance; not performance-aligned
Supplements making disease claims,Medical claims trigger FDA regulatory exposure; outside IBEX scope
