Product_ID,Category,Ingredient,Brand,Store,Link,Serving_Form,Typical_Use,Timing,Avoid_If,Third_Party_Tested,NSF_Certified,Price,Est_Monthly_Cost,Notes,Evidence_Link,NCAA_Risk_Tier,Athlete_Safe_OK
IBX-0001,Creatine,Creatine monohydrate,,,,gummy,strength/recovery,Any,kidney disease; consult clinician if concerns,Unknown,Unknown,,,Athlete-safe oriented: avoid banned substance classes; prefer third-party tested products. Use only as directed; consult athletic department / sports RD for compliance. Evidence link attached (paper per product).,https://pmc.ncbi.nlm.nih.gov/articles/PMC8228369/,Green,Y
IBX-0002,Omega-3,Omega-3 fish oil (EPA/DHA),,,,powder,recovery/general health,PM,fish allergy; blood thinners—ask clinician,Unknown,Unknown,,,Athlete-safe oriented: avoid banned substance classes; prefer third-party tested products. Use only as directed; consult athletic department / sports RD for compliance. Evidence link attached (paper per product).,https://pubmed.ncbi.nlm.nih.gov/32382573/,Green,Y
IBX-0003,Magnesium,Magnesium glycinate,,,,liquid,sleep/recovery,Any,kidney disease; may cause GI upset,Unknown,Unknown,,,Athlete-safe oriented: avoid banned substance classes; prefer third-party tested products. Use only as directed; consult athletic department / sports RD for compliance. Evidence link attached (paper per product).,https://pubmed.ncbi.nlm.nih.gov/35184264/,Green,Y
IBX-0004,Vitamin D,Vitamin D3 (cholecalciferol),,,,gummy,general health/strength,AM,hypercalcemia; consult clinician for dosing,Unknown,Unknown,,,Athlete-safe oriented: avoid banned substance classes; prefer third-party tested products. Use only as directed; consult athletic department / sports RD for compliance. Evidence link attached (paper per product).,https://pubmed.ncbi.nlm.nih.gov/38860160/,Green,Y
IBX-0005,Electrolytes,Electrolyte mix (sodium/potassium/magnesium),,,,capsule,hydration/endurance,Any,kidney disease; hypertension—monitor sodium,Unknown,Unknown,,,Athlete-safe oriented: avoid banned substance classes; prefer third-party tested products. Use only as directed; consult athletic department / sports RD for compliance. Evidence link pending for this item.,,Green,Y
IBX-0006,Protein,Whey protein isolate,,,,softgel,recovery/strength,Any,dairy allergy; lactose intolerance (choose isolate),Unknown,Unknown,,,Athlete-safe oriented: avoid banned substance classes; prefer third-party tested products. Use only as directed; consult athletic department / sports RD for compliance. Evidence link pending for this item.,,Green,Y
IBX-0007,Protein,Casein protein,,,,capsule,recovery,Any,dairy allergy,Unknown,Unknown,,,Athlete-safe oriented: avoid banned substance classes; prefer third-party tested products. Use only as directed; consult athletic department / sports RD for compliance. Evidence link pending for this item.,,Green,Y
IBX-0008,Collagen,Collagen peptides,,,,softgel,joints/recovery,AM,animal protein allergy,Unknown,Unknown,,,Athlete-safe oriented: avoid banned substance classes; prefer third-party tested products. Use only as directed; consult athletic department / sports RD for compliance. Evidence link pending for this item.,,Green,Y
IBX-0009,Tart Cherry,Tart cherry (concentrate or extract),,,,softgel,recovery/sleep,Any,GI sensitivity (sorbitol); diabetes—watch sugars,Unknown,Unknown,,,Athlete-safe oriented: avoid banned substance classes; prefer third-party tested products. Use only as directed; consult athletic department / sports RD for compliance. Evidence link attached (paper per product).,https://pubmed.ncbi.nlm.nih.gov/33440334/,Green,Y
IBX-0010,Beetroot,Beetroot (dietary nitrate),,,,capsule,endurance,Training,low blood pressure; kidney stone history (oxalates) caution,Unknown,Unknown,,,Athlete-safe oriented: avoid banned substance classes; prefer third-party tested products. Use only as directed; consult athletic department / sports RD for compliance. Evidence link attached (paper per product).,https://pubmed.ncbi.nlm.nih.gov/27600147/,Green,Y
IBX-0011,Beta-Alanine,Beta-alanine,,,,packet,endurance/strength,AM,tingling/paresthesia possible,Unknown,Unknown,,,Athlete-safe oriented: avoid banned substance classes; prefer third-party tested products. Use only as directed; consult athletic department / sports RD for compliance. Evidence link attached (paper per product).,https://pubmed.ncbi.nlm.nih.gov/27797728/,Green,Y
IBX-0012,Probiotic,Probiotic (Lactobacillus/Bifidobacterium blend),,,,softgel,gut/immune support,AM,immunocompromised—ask clinician,Unknown,Unknown,,,Athlete-safe oriented: avoid banned substance classes; prefer third-party tested products. Use only as directed; consult athletic department / sports RD for compliance. Evidence link attached (paper per product).,https://pubmed.ncbi.nlm.nih.gov/33481001/,Green,Y
IBX-0013,Fiber,Psyllium husk fiber,,,,liquid,gut/general health,PM,swallowing issues; take with water,Unknown,Unknown,,,Athlete-safe oriented: avoid banned substance classes; prefer third-party tested products. Use only as directed; consult athletic department / sports RD for compliance. Evidence link pending for this item.,,Green,Y
IBX-0014,Vitamin C,Vitamin C (ascorbic acid),,,,softgel,immune support,PM,kidney stones history—caution with high doses,Unknown,Unknown,,,Athlete-safe oriented: avoid banned substance classes; prefer third-party tested products. Use only as directed; consult athletic department / sports RD for compliance. Evidence link pending for this item.,,Green,Y
