Product_ID,Category,Ingredient,Brand,Store,Link,Serving_Form,Typical_Use,Timing,Avoid_If,Third_Party_Tested,NSF_Certified,Price,Est_Monthly_Cost,Notes
IBX-0001,Creatine,Creatine monohydrate (powder),Thorne,GNC / Vitamin Shoppe (sometimes),https://www.nsfsport.com/certified-products/listing-detail.php?id=1204244,powder,strength/recovery,Any,kidney disease; consult clinician if concerns,Y,Y,~$52,~$52,NSF Certified for Sport listing; simple unflavored powder
IBX-0002,Creatine,Creatine monohydrate (powder),Klean Athlete,GNC / Vitamin Shoppe,https://www.nsfsport.com/certified-products/listing-detail.php?id=1121640,powder,strength/recovery,Any,kidney disease; consult clinician if concerns,Y,Y,~$35,~$35,NSF Certified for Sport listing
IBX-0003,Creatine,Creatine monohydrate (powder; Creapure),Momentous,GNC / Vitamin Shoppe (sometimes),https://www.nsfsport.com/certified-products/listing-detail.php?id=1285010,powder,strength/recovery,Any,kidney disease; consult clinician if concerns,Y,Y,~$40,~$40,NSF Certified for Sport listing; widely used by athletes
IBX-0004,Creatine,Creatine monohydrate (powder),Optimum Nutrition,GNC,https://www.gnc.com/creatine/352339.html,powder,strength/recovery,Any,kidney disease; consult clinician if concerns,Unknown,Unknown,~$30,~$30,"Common, simple creatine monohydrate; widely available at GNC"
IBX-0005,Protein,Whey protein blend (Double Rich Chocolate),Optimum Nutrition Gold Standard 100% Whey,Costco / GNC,https://www.nsfsport.com/certified-products/listing-detail.php?id=1256427,powder,muscle protein/recovery,Any,dairy allergy/lactose intolerance,Unknown,Y,~$40-80,~$40-80,NSF Certified for Sport listing exists for certain flavors
IBX-0006,Protein,Whey protein blend (Vanilla Ice Cream),Optimum Nutrition Gold Standard 100% Whey,Costco / GNC,https://www.nsfsport.com/certified-products/search-results.php?keyword=whey,powder,muscle protein/recovery,Any,dairy allergy/lactose intolerance,Unknown,Y,~$40-80,~$40-80,NSF Certified for Sport listing exists for certain flavors
IBX-0007,Protein,Plant protein + superfoods,Orgain Organic Protein & Superfoods,Costco,https://www.costco.com/p/-/orgain-organic-protein-and-superfoods-plant-based-protein-powder-vanilla-bean-27-lbs/100393228,powder,protein intake,Any,legume sensitivity; GI sensitive,Unknown,Unknown,~$30-45,~$30-45,Costco staple; convenient plant option
IBX-0008,Electrolytes,Electrolyte drink mix (sticks),Liquid I.V.,Costco / Vitamin Shoppe,in-store,powder,hydration/endurance,Training,hypertension; sodium restriction,Unknown,Unknown,~$25-45,~$25-45,Popular; watch sodium for salt-sensitive users
IBX-0009,Electrolytes,Electrolyte tablets,Nuun Sport,Costco / Vitamin Shoppe,in-store,tablet,hydration/endurance,Training,hypertension; sodium restriction,Unknown,Unknown,~$20-30,~$20-30,Convenient travel tabs
IBX-0010,Electrolytes,Electrolyte powder,LMNT,Vitamin Shoppe (sometimes),in-store,powder,hydration/endurance,Training,hypertension; sodium restriction,Unknown,Unknown,~$45,~$45,High-sodium; best for heavy sweaters
IBX-0011,Electrolytes,Electrolyte drink mix,Gatorade Zero / Propel packets,Costco / GNC,in-store,powder,hydration,Training,artificial sweetener sensitivity,Unknown,Unknown,~$10-20,~$10-20,Low-cost option; not 'supplement' certified
IBX-0012,Omega-3,Fish oil 1000 mg (EPA+DHA),Kirkland Signature,Costco,https://www.costco.com/kirkland-signature-fish-oil-1000-mg.%2C-400-softgels.product.11072245.html,softgel,general health/recovery,Any,fish allergy; anticoagulants,Y,Unknown,~$25,~$5-10,USP Verified noted on Costco page; very cost effective
IBX-0013,Omega-3,Wild Alaskan fish oil 1400 mg,Kirkland Signature,Costco,https://www.costco.com/kirkland-signature-wild-alaskan-fish-oil-1400-mg.%2C-230-softgels.product.100149465.html,softgel,general health/recovery,Any,fish allergy; anticoagulants,Unknown,Unknown,~$25,~$5-10,Higher dose per softgel; cost effective
IBX-0014,Omega-3,Fish oil (high EPA/DHA),Nordic Naturals,Vitamin Shoppe,in-store,softgel,general health,Any,fish allergy; anticoagulants,Unknown,Unknown,~$35-55,~$35-55,Premium omega-3 brand
IBX-0015,Omega-3,Fish oil,Sports Research,Costco / Vitamin Shoppe,in-store,softgel,general health,Any,fish allergy; anticoagulants,Unknown,Unknown,~$30-45,~$30-45,Common Costco omega-3 alternative
IBX-0016,Vitamin D,Vitamin D3 2000 IU,Kirkland Signature,Costco,in-store,softgel,general health,Any,hypercalcemia; kidney stones risk,Unknown,Unknown,~$10-15,~$1-3,Very cost-effective; dose depends on baseline
IBX-0017,Vitamin D,Vitamin D3 5000 IU,Thorne,Vitamin Shoppe,https://www.nsfsport.com/certified-products/search-results.php?keyword=thorne,capsule,general health,Any,hypercalcemia; kidney stones risk,Unknown,Y,~$18-25,~$18-25,"NSF Certified for Sport search results show Thorne D-5,000"
IBX-0018,Vitamin D,Vitamin D3 2000 IU,Nature Made,Costco / Vitamin Shoppe,in-store,softgel,general health,Any,hypercalcemia; kidney stones risk,Unknown,Unknown,~$10-15,~$2-4,Widely available
IBX-0019,Magnesium,Magnesium bisglycinate,Thorne,Vitamin Shoppe (sometimes),https://www.nsfsport.com/certified-products/search-results.php?keyword=thorne,capsule,sleep/recovery,PM,kidney disease; diarrhea prone,Unknown,Y,~$30-40,~$30-40,Thorne magnesium bisglycinate appears in NSF search results
IBX-0020,Magnesium,Magnesium glycinate 350 mg,Solaray,Vitamin Shoppe,https://www.vitaminshoppe.com/c/vitamins-supplements/minerals/magnesium/brand/solaray,capsule,sleep/recovery,PM,kidney disease; diarrhea prone,Unknown,Unknown,~$26-39,~$10-25,Good glycinate option; adjust dose for GI tolerance
IBX-0021,Magnesium,Magnesium glycinate,KAL,Vitamin Shoppe,https://www.vitaminshoppe.com/c/solaray-kal/vitamins-supplements/minerals/magnesium/brand/kal,capsule,sleep/recovery,PM,kidney disease; diarrhea prone,Unknown,Unknown,~$20-30,~$10-20,Another reliable glycinate brand
IBX-0022,Magnesium,Magnesium L-threonate,Life Extension,Vitamin Shoppe,in-store,capsule,sleep/calm,PM,kidney disease; diarrhea prone,Unknown,Unknown,~$25-40,~$25-40,More expensive form; some prefer for cognition
IBX-0023,Multivitamin,Multivitamin (men/women),Kirkland Signature Daily Multi,Costco,in-store,tablet,general health,AM,iron-sensitive; GI sensitive,Unknown,Unknown,~$15-20,~$2-4,Basic coverage; keep simple for athletes
IBX-0024,Multivitamin,Multivitamin,Nature Made Multi,Costco / Vitamin Shoppe,in-store,tablet,general health,AM,iron-sensitive; GI sensitive,Unknown,Unknown,~$15-25,~$3-6,Widely available
IBX-0025,Minerals,Zinc 30 mg,Nature Made,Costco / Vitamin Shoppe,in-store,tablet,immune/support,AM,nausea on empty stomach,Unknown,Unknown,~$8-12,~$1-2,Short-term use; avoid chronic high dose
IBX-0026,Minerals,Iron (gentle),Solgar Gentle Iron,Vitamin Shoppe,in-store,capsule,deficiency support,AM,men; unless deficiency; constipation,Unknown,Unknown,~$12-20,~$12-20,Only include if user reports diagnosed deficiency
IBX-0027,Collagen,Collagen peptides,Vital Proteins Collagen Peptides,Costco / Vitamin Shoppe,in-store,powder,joints/skin,Any,gelatin sensitivity,Unknown,Unknown,~$25-45,~$25-45,Easy add to coffee/smoothies
IBX-0028,Joint Support,UC-II collagen,Schiff Move Free UC-II / similar,Costco / Vitamin Shoppe,in-store,capsule,joints,Any,shellfish allergy (some products),Unknown,Unknown,~$25-45,~$25-45,Common joint support aisle option
IBX-0029,Joint Support,Glucosamine + chondroitin,Kirkland Signature,Costco,in-store,tablet,joints,Any,shellfish allergy; anticoagulants,Unknown,Unknown,~$25-35,~$8-15,Classic joint combo
IBX-0030,Joint Support,MSM,NOW Foods,Vitamin Shoppe,in-store,capsule,joints,Any,GI sensitive,Unknown,Unknown,~$12-20,~$12-20,Common supportive ingredient
IBX-0031,Recovery,Curcumin phytosome,Thorne,Vitamin Shoppe,https://www.nsfsport.com/certified-products/search-results.php?keyword=thorne,capsule,recovery,Any,anticoagulants; gallbladder issues,Unknown,Y,~$48,~$48,Thorne Curcumin Phytosome appears in NSF search results
IBX-0032,Recovery,Tart cherry concentrate,Sports Research / similar,Costco / Vitamin Shoppe,in-store,capsule,recovery/soreness,PM,blood thinners (discuss with clinician),Unknown,Unknown,~$20-35,~$20-35,Useful for soreness/sleep routine
IBX-0033,Recovery,Omega-3 + D combo,Nordic Naturals,Vitamin Shoppe,in-store,softgel,recovery/general health,Any,fish allergy; anticoagulants,Unknown,Unknown,~$35-55,~$35-55,Convenient combo
IBX-0034,Gut,Probiotic (multi-strain),Garden of Life Dr. Formulated Probiotics,Vitamin Shoppe / Costco,in-store,capsule,gut,AM,immunocompromised; consult clinician,Unknown,Unknown,~$25-40,~$25-40,Common mainstream probiotic
IBX-0035,Gut,Probiotic + prebiotic,Culturelle,Costco / Vitamin Shoppe,in-store,capsule,gut,AM,immunocompromised; consult clinician,Unknown,Unknown,~$25-40,~$25-40,Widely trusted brand
IBX-0036,Gut,Digestive enzymes,Enzymedica Digest Gold,Vitamin Shoppe,in-store,capsule,digestion,With meals,ulcer meds interactions possible,Unknown,Unknown,~$35-55,~$35-55,Helpful for sensitive stomachs
IBX-0037,Gut,L-glutamine powder,Thorne,Vitamin Shoppe,https://www.nsfsport.com/certified-products/search-results.php?keyword=thorne,powder,gut/recovery,Any,liver disease; consult clinician,Unknown,Y,~$45,~$45,Thorne L-Glutamine appears in NSF search results
IBX-0038,Sleep/Calm,Glycine,NOW Foods,Vitamin Shoppe,in-store,powder,sleep,PM,kidney disease; consult clinician,Unknown,Unknown,~$12-20,~$12-20,Often used 3g at night
IBX-0039,Sleep/Calm,L-theanine,Nature Made / NOW / Jarrow,Costco / Vitamin Shoppe,in-store,capsule,calm/focus,Any,low blood pressure,Unknown,Unknown,~$12-30,~$12-30,Non-stimulant; good for caffeine-sensitive
IBX-0040,Sleep/Calm,Magnesium + L-theanine combo,GNC,GNC,in-store,capsule,sleep/calm,PM,kidney disease; diarrhea prone,Unknown,Unknown,~$25-35,~$25-35,Convenient combo; check label for melatonin
IBX-0041,Sleep/Calm,Apigenin,Swanson / Codeage (varies),Vitamin Shoppe,in-store,capsule,sleep/calm,PM,anticoagulants; consult clinician,Unknown,Unknown,~$20-35,~$20-35,More niche; consider later if sourcing easy
